Số giờ tự học trung bình mỗi tuần của bạn là bao nhiêu? (Không tính giờ học trên lớp),Số môn bạn đã đăng kí trong học kỳ này?,Tỷ lệ đi học đầy đủ của bạn ở trên lớp? (Attendance),Hình thức học tập yêu thích của bạn là gì?,Bạn có đang đi làm thêm (Part-time job) không?,Bạn có đang tham gia tích cực Câu lạc bộ/Đoàn hội không?,Thời gian trung bình mỗi đêm bạn ngủ?,"Thời gian trung bình bạn sử dụng Mạng xã hội (Facebook, Instagram, TikTok, Zalo) mỗi ngày?",GPA học kỳ gần nhất của bạn là bao nhiêu? (Thang 4)
6,4,Trên 90%,Học nhóm,Làm dưới 16h/tuần,Không,Trên 7 tiếng,2 - 4 tiếng,3.1 - 3.5
14,4,Trên 90%,Học nhóm,Không đi làm,Có,Dưới 5 tiếng,2 - 4 tiếng,3.5 - 4.0
13,6,Trên 90%,Tự học một mình,Làm dưới 16h/tuần,Không,Dưới 5 tiếng,4 - 6 tiếng,3.1 - 3.5
11,4,Trên 90%,Học nhóm,Làm trên 16h/tuần,Có,5 - 7 tiếng,2 - 4 tiếng,3.5 - 4.0
5,3,Trên 90%,Tự học một mình,Làm trên 16h/tuần,Không,Trên 7 tiếng,4 - 6 tiếng,2.6 - 3.0
14,6,Trên 90%,Tự học một mình,Không đi làm,Có,Dưới 5 tiếng,Trên 6 tiếng,3.5 - 4.0
7,8,Trên 90%,Kết hợp cả hai,Không đi làm,Có,Trên 7 tiếng,2 - 4 tiếng,3.1 - 3.5
13,3,Trên 90%,Học nhóm,Làm trên 16h/tuần,Có,5 - 7 tiếng,Dưới 2 tiếng,3.5 - 4.0
7,7,Trên 90%,Tự học một mình,Làm dưới 16h/tuần,Có,Trên 7 tiếng,2 - 4 tiếng,3.1 - 3.5
8,3,Trên 90%,Học nhóm,Làm dưới 16h/tuần,Có,5 - 7 tiếng,Dưới 2 tiếng,3.1 - 3.5
11,3,Trên 90%,Học nhóm,Không đi làm,Có,Trên 7 tiếng,4 - 6 tiếng,3.5 - 4.0
14,5,Trên 90%,Tự học một mình,Làm dưới 16h/tuần,Có,5 - 7 tiếng,2 - 4 tiếng,3.5 - 4.0
12,7,Trên 90%,Tự học một mình,Không đi làm,Có,Dưới 5 tiếng,4 - 6 tiếng,3.5 - 4.0
13,3,Trên 90%,Học nhóm,Không đi làm,Có,Dưới 5 tiếng,2 - 4 tiếng,3.5 - 4.0
11,3,Trên 90%,Học nhóm,Không đi làm,Có,5 - 7 tiếng,4 - 6 tiếng,3.5 - 4.0
9,5,Trên 90%,Học nhóm,Không đi làm,Có,Trên 7 tiếng,Dưới 2 tiếng,3.5 - 4.0
7,7,Trên 90%,Tự học một mình,Làm dưới 16h/tuần,Có,5 - 7 tiếng,Trên 6 tiếng,3.1 - 3.5
15,6,Trên 90%,Học nhóm,Làm trên 16h/tuần,Có,Dưới 5 tiếng,2 - 4 tiếng,3.5 - 4.0
12,4,Trên 90%,Tự học một mình,Không đi làm,Có,5 - 7 tiếng,Trên 6 tiếng,3.5 - 4.0
13,6,Trên 90%,Tự học một mình,Không đi làm,Có,Dưới 5 tiếng,2 - 4 tiếng,3.5 - 4.0
10,4,Trên 90%,Tự học một mình,Làm dưới 16h/tuần,Có,Trên 7 tiếng,Dưới 2 tiếng,3.5 - 4.0
